 V  E  Time 
1000 1000 0
1000 2000 39750
1000 4000 60220
1000 8000 80260
1000 16000 109710
1000 32000 189510
1000 64000 328970
2000 2000 0
2000 4000 0
2000 8000 89410
2000 16000 149840
2000 32000 219410
2000 64000 389270
2000 128000 648510
2000 256000 1206700
4000 4000 9960
4000 8000 9970
4000 16000 199610
4000 32000 319150
4000 64000 468230
4000 128000 758100
4000 256000 1306390
4000 512000 2473710
4000 1024000 4827210
8000 8000 19960
8000 16000 19930
8000 32000 448630
8000 64000 688490
8000 128000 1016970
8000 256000 1576080
8000 512000 2842420
8000 1024000 5315330
8000 2048000 10143200
8000 4096000 19099240
16000 16000 39900
16000 32000 39870
16000 64000 957440
16000 128000 1416550
16000 256000 2014700
16000 512000 3271170
16000 1024000 6003820
16000 2048000 11120250
16000 4096000 21662170
16000 8192000 40621450
16000 16384000 83696480
