 V  E  Time 
1000 1000 0
1000 2000 0
1000 4000 3595000
1000 8000 2987300
1000 16000 2498000
1000 32000 2194300
1000 64000 2194400
2000 2000 0
2000 4000 99700
2000 8000 13260000
2000 16000 12367000
2000 32000 9977900
2000 64000 9075600
2000 128000 8576600
2000 256000 8277800
4000 4000 0
4000 8000 204000
4000 16000 48465800
4000 32000 48670300
4000 64000 40691200
4000 128000 37203700
4000 256000 34608300
4000 512000 33507200
4000 1024000 33606900
8000 8000 99700
8000 16000 99700
8000 32000 220911600
8000 64000 195573700
8000 128000 160274700
8000 256000 143917000
8000 512000 134638700
8000 1024000 132345800
8000 2048000 129556200
8000 4096000 128956500
16000 16000 99700
16000 32000 1096900
16000 64000 875855900
16000 128000 771932200
16000 256000 633508900
16000 512000 568576100
16000 1024000 536564700
16000 2048000 522102400
16000 4096000 516718500
16000 8192000 510631100
16000 16384000 512429300
