 V  E  Time 
1000 1000 0
1000 2000 0
1000 4000 3191600
1000 8000 2692700
1000 16000 2396700
1000 32000 2190800
1000 64000 2194200
2000 2000 99600
2000 4000 0
2000 8000 11668800
2000 16000 11472800
2000 32000 9770400
2000 64000 8979400
2000 128000 8577100
2000 256000 8377600
4000 4000 0
4000 8000 104700
4000 16000 43486900
4000 32000 46375900
4000 64000 39692700
4000 128000 36103300
4000 256000 34408600
4000 512000 33410200
4000 1024000 33211200
8000 8000 99700
8000 16000 199600
8000 32000 209244400
8000 64000 190785200
8000 128000 156680900
8000 256000 142415900
8000 512000 142419100
8000 1024000 134440300
8000 2048000 130052100
8000 4096000 129949000
16000 16000 0
16000 32000 1196600
16000 64000 842247600
16000 128000 762258100
16000 256000 637295300
16000 512000 586631100
16000 1024000 555015500
16000 2048000 534570200
16000 4096000 525095500
16000 8192000 523004400
16000 16384000 527189800
